KLNCIT/ECE/105,W Engineering,T.Jayanthy,~
KLNCIT/ECE/106,Signals and Systems,Badmavady Girivasan,~
KLNCIT/ECE/107,Optical Communications,D.Mythili,~
KLNCIT/ECE/108,Total Quality Management,S.kumar,Laxmi
KLNCIT/ECE/109,P?S ,A.P.Godse,~
KLNCIT/ECE/110,Verilog Digital System Design,Zainualbdeen Navab,~
KLNCIT/ECE/111,Electronic Circuits II,K.S.Srinivasan,Anuradha
KLNCIT/ECE/112,Digital Signal Processing,Ramesh Babu,Scitech
KLNCIT/ECE/113,~,,~
KLNCIT/ECE/114,DE,R.S.Sedha,~
KLNCIT/ECE/115,Environmental Science Engineering,T.Meenambal,~
KLNCIT/ECE/116,EDC-2marks,G.Nagarajan,~
KLNCIT/ECE/117,Microprocessor & Microcontroller,R.Thiyagarajan,~
KLNCIT/ECE/118,S.S.,Eugene Xavier,~
KLNCIT/ECE/119,N/W Analysis & Systhesis,Geetha ,Scitech
KLNCIT/ECE/120,Digital Signal Processing,Yugene Xavier,S.Chand
KLNCIT/ECE/121,~,,~
KLNCIT/ECE/122,Engineering Electromagnetics,Dr.P.Dhananjeyan,~
KLNCIT/ECE/123,Principles of Communication Engineering,Anokh Singh,Chand
KLNCIT/ECE/124,Principles of Communication Systems,Taub,~
KLNCIT/ECE/125,Digital Signal Processing,Sanjit K.Mitra,~
KLNCIT/ECE/126,Prof.Ethics,Jeyashree,S.Chand
KLNCIT/ECE/127,Comp.Archi. & Logic Design,Thomas C.Bartee,Tata.M.C.Grawhill
KLNCIT/ECE/128,Engineering Circuit Analysis,William H.Hayt,TATA mc Graw Hill
KLNCIT/ECE/129,Electromagnetics with Applience,Kraus,TATA mc Graw Hill
KLNCIT/ECE/130,Optical Fiber Communication,Kaiser,~
KLNCIT/ECE/131,B.E ECE-VII-2Marks,Pratheeba,~
KLNCIT/ECE/132,Comp.Archi & Organisation,B.Govindarajlu,Tata.M.C.Grawhill
KLNCIT/ECE/133,Microprocessor & Interfaring,Douglas.V.Hall,Tata.M.C.Grawhill
KLNCIT/ECE/134,Principles of Communication Systems,Taub Schilling,Tata.M.C.Grawhill
